LSOA11CD,Employee
E01001520,435
E01001521,400
E01001522,420
E01001523,401
E01001524,423
E01001525,284
E01001526,178
E01001527,354
E01001528,898
E01001529,464
E01001530,416
E01001531,224
E01001532,486
E01001533,211
E01001534,523
E01001535,207
E01001536,1680
E01001537,266
E01001538,220
E01001539,423
E01001540,537
E01001541,611
E01001542,414
E01001543,258
E01001544,2716
E01001545,152
E01001546,215
E01001547,373
E01001548,175
E01001549,261
E01001550,213
E01001551,354
E01001552,451
E01001553,169
E01001554,361
E01001555,334
E01001556,409
E01001557,121
E01001558,922
E01001559,2002
E01001560,306
E01001562,205
E01001563,519
E01001564,501
E01001565,242
E01001566,393
E01001567,345
E01001568,340
E01001569,743
E01001570,880
E01001571,282
E01001572,207
E01001573,165
E01001574,554
E01001575,210
E01001576,308
E01001577,226
E01001578,440
E01001579,361
E01001580,546
E01001581,402
E01001582,274
E01001583,282
E01001584,888
E01001585,204
E01001586,244
E01001587,453
E01001588,276
E01001589,479
E01001590,271
E01001591,485
E01001592,356
E01001593,335
E01001594,196
E01001595,495
E01001596,211
E01001597,341
E01001598,215
E01001599,1237
E01001600,319
E01001601,282
E01001602,252
E01001603,267
